year,SmokeEstimate,yearly_avg_aqi,MedicareEnrollees,MortalityRate,FertilityRate
1974,1.5119716296738357,,,,
1975,1.4780032335258666,,,,
1976,1.8108381399603788,,,,
1977,2.2080957088516504,,,,
1978,0.7683586683661846,,,,
1979,2.167136446994963,,,,
1980,1.959831972609148,,,,
1981,3.0321771935022057,,,,
1982,1.6456848885388362,,,,
1983,2.945636234295814,,,,
1984,2.76374244876748,,,,
1985,4.434214421555173,,,,
1987,2.871355592108221,,,,
1988,6.275215992223328,,,,
1989,3.0546472003776457,,,,
1990,2.8810872693853606,,,,
1991,1.8021616912705616,,,,
1992,2.728624562600156,,,,
1993,4.789385615431793,,,,
1994,5.083488145423962,,,,
1995,3.767416531133791,,,,
1996,7.451795365034586,,,,
1997,1.7931293055183777,,,,
1998,2.2426418060383053,,,,
1999,5.378836570582122,,8329.0,5.30628532823671,
2000,7.225115045706441,,8581.0,5.24407448657894,
2001,3.1901927893652,,8820.0,5.39611056135795,
2002,9.91093545828408,,9049.0,5.31648765984499,
2003,4.758169568299134,,9310.0,5.24673817999368,
2004,2.987939160800673,,9622.0,4.81426254375381,
2005,6.838875888614169,9.185185185185183,9871.0,5.17881275621724,
2006,7.244550681807029,9.873417721518988,10084.0,5.11718123293549,
2007,7.733843649525842,21.75774647887324,10346.0,4.99897300517681,
2008,4.943591273336237,18.167664670658684,10741.0,5.08389833698008,
2009,3.968015049839248,16.940438871473354,10993.0,4.535389712771741,
2010,2.81152278989303,17.211805555555557,11291.0,4.42185612332332,2.3
2011,9.525029808406462,17.61849710982659,11433.0,4.70350387988684,3.0
2012,8.075236989239633,21.313915857605178,11959.0,4.38932821990432,3.4
2013,4.750724565388374,15.459183673469388,12398.0,4.34030018106254,5.5
2014,3.727002787982834,12.846153846153848,12874.0,4.58337629434084,6.3
2015,3.670616193592695,16.142857142857142,13099.0,4.26043123409487,6.9
2016,4.26356068689537,8.63768115942029,13627.0,4.62,7.1
2017,6.1194256770767765,15.539325842696629,14100.0,4.33,7.8
2018,7.593081763649961,13.472527472527473,14712.0,4.18,6.2
2019,2.495756438390864,9.424581005586592,15437.0,4.456549872,5.5
2020,4.813636942404869,16.206521739130434,,,7.8
