FireYear,SmokeEstimate
1963,1.5843950992713451
1964,2.8907301949608515
1965,0.9089461534928117
1966,3.31532699547927
1967,1.7579970701520833
1968,1.30687858362857
1969,1.1340259913493238
1970,2.955042664371899
1971,3.5701479223615467
1972,1.4986909588080197
1973,2.388213108567733
1974,1.5119716296738357
1975,1.4780032335258666
1976,1.8108381399603788
1977,2.2080957088516504
1978,0.7683586683661846
1979,2.167136446994963
1980,1.959831972609148
1981,3.0321771935022057
1982,1.6456848885388362
1983,2.945636234295814
1984,2.76374244876748
1985,4.434214421555173
1986,3.2991136620054538
1987,2.8713555921082206
1988,6.275215992223328
1989,3.0546472003776457
1990,2.8810872693853606
1991,1.8021616912705618
1992,2.728624562600156
1993,4.789385615431793
1994,5.083488145423962
1995,3.767416531133791
1996,7.451795365034586
1997,1.7931293055183777
1998,2.2426418060383053
1999,5.378836570582122
2000,7.225115045706441
2001,3.1901927893652
2002,9.910935458284081
2003,4.758169568299134
2004,2.987939160800673
2005,6.838875888614169
2006,7.244550681807029
2007,7.733843649525842
2008,4.943591273336237
2009,3.9680150498392477
2010,2.81152278989303
2011,9.525029808406462
2012,8.075236989239633
2013,4.750724565388374
2014,3.727002787982834
2015,3.6706161935926946
2016,4.26356068689537
2017,6.1194256770767765
2018,7.593081763649961
2019,2.4957564383908637
2020,4.813636942404869
