OBJECTID,shortest_dist
1,1074.26
2,1072.22
3,1074.6
4,745.81
5,589.58
6,577.68
7,719.65
8,722.08
9,217.6
10,564.86
11,570.99
12,577.17
13,575.59
14,551.53
15,718.67
16,706.37
17,723.43
18,728.29
19,715.74
20,726.83
21,710.32
22,743.26
23,687.02
24,541.94
25,723.97
26,553.43
27,681.58
28,562.1
29,729.14
30,539.84
31,541.26
32,545.91
33,744.25
34,721.47
36,563.19
37,569.65
38,570.16
39,574.48
40,570.76
41,573.39
42,577.81
43,573.78
44,1069.88
45,708.98
46,701.29
47,558.83
48,779.12
49,568.58
50,575.91
51,566.51
52,698.04
53,731.05
54,583.7
55,711.79
56,583.31
57,703.37
58,644.55
59,583.59
60,573.31
61,564.07
62,561.23
63,650.66
64,550.55
65,959.9
66,646.58
67,719.02
68,558.55
69,229.4
70,644.81
71,682.8
72,586.26
73,533.84
74,739.01
75,525.86
77,532.96
78,566.96
79,535.01
80,582.96
81,567.54
82,530.19
83,536.59
84,581.45
85,568.74
86,829.52
87,529.31
88,522.36
89,521.04
90,825.8
91,901.73
92,853.45
93,648.67
95,859.17
96,651.62
97,574.94
98,535.28
99,686.12
100,652.68
101,637.88
102,700.71
103,671.05
104,648.95
105,696.04
106,538.29
107,653.66
108,686.32
109,533.21
110,649.38
111,134.78
112,531.07
113,529.78
114,582.04
115,156.47
116,151.2
117,528.18
118,159.42
119,138.22
120,753.28
121,641.25
122,656.45
123,960.94
124,634.92
125,717.55
126,992.14
127,125.51
128,552.88
129,701.72
130,723.99
131,719.79
132,652.41
133,560.03
134,986.93
135,523.79
136,118.47
137,860.85
138,856.6
139,721.88
140,1005.58
141,722.66
142,525.33
143,885.38
144,562.42
145,707.39
146,717.08
147,110.27
148,116.19
149,580.5
150,917.46
151,530.8
152,92.85
153,575.35
154,574.67
155,525.08
156,532.52
157,906.24
158,119.77
159,119.85
160,116.91
161,115.77
162,108.66
163,92.42
164,93.76
165,85.95
166,730.61
167,776.78
168,732.87
169,834.17
170,759.22
171,872.03
172,783.95
173,742.48
174,769.01
175,770.31
176,770.85
177,893.09
178,765.74
179,848.42
180,782.61
181,971.27
182,739.32
183,752.95
184,777.01
185,765.3
186,800.05
187,960.78
188,715.87
189,832.35
190,813.5
191,780.4
192,536.59
193,880.27
194,853.39
195,909.37
196,756.84
197,781.45
198,741.37
199,817.67
200,850.71
201,807.25
202,976.95
203,815.1
204,648.51
205,721.36
206,809.6
207,992.14
208,762.21
209,653.74
210,857.71
211,861.08
212,811.16
213,945.64
214,956.85
215,798.27
216,826.49
217,790.2
218,871.38
219,807.88
220,886.38
221,718.51
222,663.36
223,675.09
224,854.05
225,986.98
226,867.1
227,857.34
228,866.33
229,844.84
230,861.42
231,848.15
232,679.38
233,998.8
234,685.66
235,596.07
236,713.68
237,662.19
238,551.11
239,875.45
240,885.56
241,819.28
242,701.63
243,575.57
244,589.56
245,569.54
246,593.18
247,858.51
248,971.83
249,982.34
250,553.95
251,977.19
252,978.47
253,862.27
254,647.43
255,755.19
256,564.27
257,554.46
258,658.12
259,870.04
260,696.56
261,764.98
262,859.27
263,754.42
264,793.59
265,566.68
266,877.3
267,873.64
268,946.43
269,789.25
270,862.69
271,686.88
272,870.1
273,772.09
274,656.0
275,771.0
276,705.78
277,977.07
278,863.2
279,675.43
280,672.57
281,549.86
282,571.6
283,576.6
284,780.21
285,847.36
286,789.08
287,714.88
288,703.14
289,981.91
290,871.05
291,676.0
292,860.97
293,568.16
294,681.49
295,886.84
296,880.59
297,602.78
298,878.03
299,827.03
300,880.64
301,864.76
302,560.91
303,723.36
304,561.31
305,552.27
306,876.95
307,882.41
308,880.89
309,884.87
310,585.32
311,705.26
312,883.95
313,593.22
314,874.73
315,887.87
316,873.52
317,706.75
318,709.26
319,679.42
320,890.99
321,895.38
322,862.26
323,1049.07
324,1066.1
325,723.6
326,989.42
327,694.66
328,865.02
329,652.12
330,877.92
331,522.86
332,886.43
333,572.73
334,723.41
335,677.75
336,565.14
337,865.89
338,696.42
339,688.47
340,1024.13
341,566.14
342,885.18
343,876.24
344,556.81
345,1000.37
346,1017.76
347,1031.51
348,571.25
349,680.64
350,573.62
351,581.76
352,277.71
353,167.34
354,160.58
355,597.69
356,997.44
357,582.05
358,883.9
359,562.87
360,996.15
361,857.34
362,531.28
363,1003.24
364,595.1
365,883.93
366,568.9
367,582.68
368,585.97
369,120.61
370,586.32
371,568.15
372,1008.4
373,589.45
374,570.39
375,1009.92
376,586.89
377,583.03
378,573.23
379,527.5
380,738.5
381,722.03
382,213.24
383,584.11
384,159.21
385,153.28
386,147.47
387,155.22
388,140.53
389,130.76
390,113.99
391,121.65
392,115.99
393,104.56
394,120.79
395,120.94
396,101.15
397,100.56
398,111.09
399,104.45
400,102.08
401,97.41
402,99.58
403,94.08
404,95.22
405,84.36
406,86.33
407,535.41
408,574.86
409,624.37
410,569.75
411,546.54
412,519.23
413,562.29
414,769.99
415,742.99
416,753.53
417,561.4
418,883.62
419,527.18
420,777.38
421,889.65
422,868.24
423,660.36
424,693.53
425,555.07
426,767.49
427,868.28
428,618.02
429,631.1
430,781.46
431,540.48
432,739.04
433,549.15
434,557.56
435,649.52
436,527.19
437,1025.15
438,602.94
439,758.41
440,847.9
441,823.35
442,609.87
443,768.95
444,544.12
445,831.36
446,546.84
447,639.63
448,601.83
449,116.8
450,601.15
451,628.25
452,867.77
453,549.74
454,713.47
455,546.52
456,649.54
457,601.93
458,548.38
459,879.65
460,726.13
461,551.51
462,563.48
463,563.99
464,615.62
465,598.03
466,583.79
467,642.59
468,546.99
469,552.62
470,602.02
471,781.53
472,656.6
473,574.22
474,649.13
475,593.86
476,903.44
477,595.55
478,709.15
479,593.72
480,748.47
481,604.23
482,722.24
483,654.88
484,831.77
485,651.79
486,776.18
487,562.7
488,603.82
489,561.43
490,596.87
491,598.07
492,604.69
493,749.97
494,585.04
495,596.28
496,643.31
497,754.43
498,826.57
499,596.33
500,779.89
501,760.66
502,738.25
503,673.82
504,635.34
505,599.39
506,573.36
507,605.5
508,542.78
509,604.3
510,602.75
511,653.61
512,602.26
513,782.35
514,573.02
515,789.22
516,1022.27
517,737.36
518,632.7
519,736.44
520,516.83
521,717.76
522,542.44
523,597.28
524,529.52
525,565.77
526,644.86
527,616.66
528,566.85
529,646.25
530,124.3
531,841.71
532,547.74
533,780.12
534,618.33
535,881.18
536,991.78
537,565.3
538,594.79
539,639.68
540,528.97
541,1080.18
542,619.95
543,1009.05
544,884.42
545,845.16
546,597.89
547,610.77
548,865.76
549,638.84
550,545.01
551,559.39
552,641.35
553,861.62
554,619.75
555,619.43
556,616.35
557,1025.82
558,560.9
559,619.16
560,574.42
561,542.66
562,550.08
563,573.75
564,533.27
565,641.31
566,879.51
567,884.32
568,881.0
569,883.09
570,874.2
571,528.15
572,527.89
573,521.57
574,521.87
575,859.21
576,878.99
577,883.83
578,882.81
579,520.66
580,83.14
581,850.89
582,851.99
583,676.49
584,560.91
585,609.32
586,78.61
587,575.68
588,556.12
589,570.01
590,972.57
591,655.04
592,613.33
593,622.2
594,597.35
595,660.98
596,725.58
597,655.51
598,554.58
599,825.33
600,672.48
601,525.63
602,615.82
603,1016.54
604,738.67
605,525.99
606,536.09
607,653.02
608,555.64
609,641.55
610,659.85
611,609.99
612,549.04
613,546.0
614,615.94
615,544.26
616,1022.04
617,660.14
618,602.17
619,547.35
620,565.54
621,1006.06
622,665.38
623,826.75
624,602.37
625,566.75
626,556.8
627,565.27
628,573.96
629,580.46
630,822.6
631,548.93
632,527.24
633,596.32
634,1009.67
635,559.84
636,1009.83
637,997.77
638,553.67
639,554.38
640,163.21
641,176.57
642,113.33
643,532.34
644,573.1
645,658.61
646,583.24
647,830.99
648,749.04
649,558.29
650,1009.21
651,523.67
652,171.79
653,165.0
