site_number,parameter_code,sample_duration,date_local,aqi
0013,42401,24-HR BLK AVG,1974-05-08,
0013,42401,24-HR BLK AVG,1974-05-09,
0013,42401,24-HR BLK AVG,1974-05-10,
0013,42401,24-HR BLK AVG,1974-05-11,
0013,42401,24-HR BLK AVG,1974-05-12,
0013,42401,24-HR BLK AVG,1974-05-13,
0013,42401,24-HR BLK AVG,1974-05-14,
0013,42401,24-HR BLK AVG,1974-05-15,
0013,42401,24-HR BLK AVG,1974-05-16,
0013,42401,24-HR BLK AVG,1974-05-17,
0013,42401,24-HR BLK AVG,1974-05-18,
0013,42401,24-HR BLK AVG,1974-05-19,
0013,42401,24-HR BLK AVG,1974-05-20,
0013,42401,24-HR BLK AVG,1974-05-21,
0013,42401,24-HR BLK AVG,1974-05-22,
0013,42401,24-HR BLK AVG,1974-05-23,
0013,42401,24-HR BLK AVG,1974-05-24,
0013,42401,24-HR BLK AVG,1974-05-25,
0013,42401,24-HR BLK AVG,1974-05-26,
0013,42401,24-HR BLK AVG,1974-05-27,
0013,42401,24-HR BLK AVG,1974-05-30,
0013,42401,24-HR BLK AVG,1974-05-31,
0013,42401,24-HR BLK AVG,1974-06-01,
0013,42401,24-HR BLK AVG,1974-06-02,
0013,42401,24-HR BLK AVG,1974-06-03,
0013,42401,24-HR BLK AVG,1974-06-04,
0013,42401,24-HR BLK AVG,1974-06-05,
0013,42401,24-HR BLK AVG,1974-06-06,
0013,42401,24-HR BLK AVG,1974-06-07,
0013,42401,24-HR BLK AVG,1974-06-08,
0013,42401,24-HR BLK AVG,1974-06-09,
0013,42401,24-HR BLK AVG,1974-06-10,
0013,42401,24-HR BLK AVG,1974-06-11,
0013,42401,24-HR BLK AVG,1974-06-12,
0013,42401,24-HR BLK AVG,1974-06-13,
0013,42401,24-HR BLK AVG,1974-06-14,
0013,42401,24-HR BLK AVG,1974-06-15,
0013,42401,24-HR BLK AVG,1974-06-16,
0013,42401,24-HR BLK AVG,1974-06-17,
0013,42401,24-HR BLK AVG,1974-06-19,
0013,42401,24-HR BLK AVG,1974-06-20,
0013,42401,24-HR BLK AVG,1974-06-21,
0013,42401,24-HR BLK AVG,1974-06-22,
0013,42401,24-HR BLK AVG,1974-06-23,
0013,42401,24-HR BLK AVG,1974-06-26,
0013,42401,24-HR BLK AVG,1974-06-27,
0013,42401,24-HR BLK AVG,1974-06-28,
0013,42401,24-HR BLK AVG,1974-06-29,
0013,42401,24-HR BLK AVG,1974-06-30,
0013,42401,24-HR BLK AVG,1974-07-01,
0013,42401,24-HR BLK AVG,1974-07-02,
0013,42401,24-HR BLK AVG,1974-07-03,
0013,42401,24-HR BLK AVG,1974-07-04,
0013,42401,24-HR BLK AVG,1974-07-05,
0013,42401,24-HR BLK AVG,1974-07-06,
0013,42401,24-HR BLK AVG,1974-07-07,
0013,42401,24-HR BLK AVG,1974-07-08,
0013,42401,24-HR BLK AVG,1974-07-09,
0013,42401,24-HR BLK AVG,1974-07-10,
0013,42401,24-HR BLK AVG,1974-07-11,
0013,42401,24-HR BLK AVG,1974-07-12,
0013,42401,24-HR BLK AVG,1974-07-13,
0013,42401,24-HR BLK AVG,1974-07-14,
0013,42401,24-HR BLK AVG,1974-07-15,
0013,42401,24-HR BLK AVG,1974-07-16,
0013,42401,24-HR BLK AVG,1974-07-17,
0013,42401,24-HR BLK AVG,1974-07-18,
0013,42401,24-HR BLK AVG,1974-07-19,
0013,42401,24-HR BLK AVG,1974-07-20,
0013,42401,24-HR BLK AVG,1974-07-21,
0013,42401,24-HR BLK AVG,1974-07-22,
0013,42401,24-HR BLK AVG,1974-07-23,
0013,42401,24-HR BLK AVG,1974-07-24,
0013,42401,24-HR BLK AVG,1974-07-25,
0013,42401,24-HR BLK AVG,1974-07-26,
0013,42401,24-HR BLK AVG,1974-07-27,
0013,42401,24-HR BLK AVG,1974-07-28,
0013,42401,24-HR BLK AVG,1974-07-29,
0013,42401,24-HR BLK AVG,1974-07-30,
0013,42401,24-HR BLK AVG,1974-07-31,
0013,42401,24-HR BLK AVG,1974-08-01,
0013,42401,24-HR BLK AVG,1974-08-02,
0013,42401,24-HR BLK AVG,1974-08-03,
0013,42401,24-HR BLK AVG,1974-08-07,
0013,42401,24-HR BLK AVG,1974-08-08,
0013,42401,24-HR BLK AVG,1974-08-09,
0013,42401,24-HR BLK AVG,1974-08-10,
0013,42401,24-HR BLK AVG,1974-08-11,
0013,42401,24-HR BLK AVG,1974-08-12,
0013,42401,24-HR BLK AVG,1974-08-13,
0013,42401,24-HR BLK AVG,1974-08-14,
0013,42401,24-HR BLK AVG,1974-08-15,
0013,42401,24-HR BLK AVG,1974-08-16,
0013,42401,24-HR BLK AVG,1974-08-17,
0013,42401,24-HR BLK AVG,1974-08-18,
0013,42401,24-HR BLK AVG,1974-08-19,
0013,42401,24-HR BLK AVG,1974-08-20,
0013,42401,24-HR BLK AVG,1974-08-21,
0013,42401,24-HR BLK AVG,1974-08-22,
0013,42401,24-HR BLK AVG,1974-08-24,
0013,42401,24-HR BLK AVG,1974-08-25,
0013,42401,24-HR BLK AVG,1974-08-26,
0013,42401,24-HR BLK AVG,1974-08-27,
0013,42401,24-HR BLK AVG,1974-08-28,
0013,42401,24-HR BLK AVG,1974-08-29,
0013,42401,24-HR BLK AVG,1974-08-30,
0013,42401,24-HR BLK AVG,1974-08-31,
0013,42401,24-HR BLK AVG,1974-09-01,
0013,42401,24-HR BLK AVG,1974-09-02,
0013,42401,24-HR BLK AVG,1974-09-03,
0013,42401,24-HR BLK AVG,1974-09-04,
0013,42401,24-HR BLK AVG,1974-09-05,
0013,42401,24-HR BLK AVG,1974-09-06,
0013,42401,24-HR BLK AVG,1974-09-07,
0013,42401,24-HR BLK AVG,1974-09-08,
0013,42401,24-HR BLK AVG,1974-09-11,
0013,42401,24-HR BLK AVG,1974-09-12,
0013,42401,24-HR BLK AVG,1974-09-13,
0013,42401,24-HR BLK AVG,1974-09-14,
0013,42401,24-HR BLK AVG,1974-09-15,
0013,42401,24-HR BLK AVG,1974-09-16,
0013,42401,24-HR BLK AVG,1974-09-17,
0013,42401,24-HR BLK AVG,1974-09-18,
0013,42401,24-HR BLK AVG,1974-09-19,
0013,42401,24-HR BLK AVG,1974-09-20,
0013,42401,24-HR BLK AVG,1974-09-21,
0013,42401,24-HR BLK AVG,1974-09-22,
0013,42401,24-HR BLK AVG,1974-09-23,
0013,42401,24-HR BLK AVG,1974-09-24,
0013,42401,24-HR BLK AVG,1974-09-25,
0013,42401,24-HR BLK AVG,1974-09-26,
0013,42401,24-HR BLK AVG,1974-10-04,
0013,42401,24-HR BLK AVG,1974-10-05,
0013,42401,24-HR BLK AVG,1974-10-06,
0013,42401,24-HR BLK AVG,1974-10-07,
0013,42401,24-HR BLK AVG,1974-10-08,
0013,42401,24-HR BLK AVG,1974-10-09,
0013,42401,24-HR BLK AVG,1974-10-10,
0013,42401,24-HR BLK AVG,1974-10-11,
0013,42401,24-HR BLK AVG,1974-10-12,
0013,42401,24-HR BLK AVG,1974-10-13,
0013,42401,24-HR BLK AVG,1974-10-14,
0013,42401,24-HR BLK AVG,1974-10-15,
0013,42401,24-HR BLK AVG,1974-10-16,
0013,42401,24-HR BLK AVG,1974-10-17,
0013,42401,24-HR BLK AVG,1974-10-18,
0013,42401,24-HR BLK AVG,1974-10-19,
0013,42401,24-HR BLK AVG,1974-10-20,
0013,42401,24-HR BLK AVG,1974-10-21,
0013,42401,24-HR BLK AVG,1974-10-23,
0013,42401,24-HR BLK AVG,1974-10-24,
0013,42401,24-HR BLK AVG,1974-10-25,
0013,42401,24-HR BLK AVG,1974-10-26,
0013,42401,24-HR BLK AVG,1974-10-27,
0013,42401,24-HR BLK AVG,1974-10-28,
0013,42401,24-HR BLK AVG,1974-10-29,
0013,42401,24-HR BLK AVG,1974-10-30,
0013,42401,24-HR BLK AVG,1974-10-31,
0013,42401,24-HR BLK AVG,1974-05-08,
0013,42401,24-HR BLK AVG,1974-05-09,
0013,42401,24-HR BLK AVG,1974-05-10,
0013,42401,24-HR BLK AVG,1974-05-11,
0013,42401,24-HR BLK AVG,1974-05-12,
0013,42401,24-HR BLK AVG,1974-05-13,
0013,42401,24-HR BLK AVG,1974-05-14,
0013,42401,24-HR BLK AVG,1974-05-15,
0013,42401,24-HR BLK AVG,1974-05-16,
0013,42401,24-HR BLK AVG,1974-05-17,
0013,42401,24-HR BLK AVG,1974-05-18,
0013,42401,24-HR BLK AVG,1974-05-19,
0013,42401,24-HR BLK AVG,1974-05-20,
0013,42401,24-HR BLK AVG,1974-05-21,
0013,42401,24-HR BLK AVG,1974-05-22,
0013,42401,24-HR BLK AVG,1974-05-23,
0013,42401,24-HR BLK AVG,1974-05-24,
