year,yearly_avg_aqi
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,9.185185185185185
2006,9.873417721518987
2007,21.75774647887324
2008,18.167664670658684
2009,16.940438871473354
2010,17.211805555555557
2011,17.61849710982659
2012,21.313915857605178
2013,15.459183673469388
2014,12.846153846153847
2015,16.142857142857142
2016,8.63768115942029
2017,15.539325842696629
2018,13.472527472527473
2019,9.424581005586592
2020,16.206521739130434
2021,16.32967032967033
2022,21.02173913043478
2023,11.610169491525424
